id,artist,title,lyrics,
587,Jason Derulo,Trumpets,"Every time that you get undressed
I hear symphonies in my head
I wrote this song just looking at you, oh, oh
Yeah, the drums they swing low
And the trumpets they go
And the trumpets they go
Yeah, the trumpets they go
Ooh-ooh, and they go
Is it weird that I hear
Violins whenever you're gone? (Whenever you're gone)
Yeah, is it weird that your ass
Remind me of a Kanye West song? (Kanye West song)
Is it weird that I hear
Trumpets when you're turning me on? (Turning me on)
Is it weird that your bra
Remind me of a Katy Perry song?
Every time that you get undressed
I hear symphonies in my head
I wrote this song just looking at you, oh, oh
Yeah, the drums they swing low
And the trumpets they go (and they're playing for you, girl)
And the trumpets they go (ah, yeah)
Yeah, the trumpets they go
Oh-oh-whoa, yeah, the trumpets they go
Da, ah-da-da, ah-da-da
Ah-da, ah-da-da, and they go
Damn, is it weird that I hear
Angels every time that you moan? Uh (time that you moan)
Oh, yeah, is it weird that your eyes
Remind me of a Coldplay song? (Coldplay song)
Is it weird that I hear
Trumpets when you're turning me on? (Turning me on)
Is it weird that your bra
Remind me of a Katy Perry song?
Every time that you get undressed
I hear symphonies in my head
I wrote this song looking at you, oh, oh
Oh, yeah
Every time (every time) that you get undressed (every time that you get undressed)
I hear symphonies in my head (I hear symphonies in my head)
I wrote this song (I wrote this song) just looking at you, oh, oh (just looking at you, girl)
Uh, yeah, the drums they swing low
And the trumpets they go
Ha! Acapella on 'em
They go, whoa-whoa, oh-yeah, oh
Come on, come on, come on
They go",
588,Jung Kook (feat. Latto),Seven,"Weight of the world on your shoulders
I'll kiss your waist and ease your mind
I must be favored to know ya
I'll take my hands and trace your lines
It's the way that you can ride
It's the way that you can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week
You love when I jump right in
All of me, I'm offering
Show you what devotion is
Deeper than the ocean is
Wind it back, I'll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is
It's the way that you can ride
It's the way that you can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right, oh-oh-oh-oh
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (oh, oh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week (Big Latto)
Tightly take control, tightly take his soul
Take your phone and put it in the camera roll
Leave them clothes at the door
Watchu waitin' for? Better come and hit yo' goals
Uh, he jump in it, both feet
Goin' 'til the sun up, we ain't gettin' no sleep
Seven days a week, seven different sheets
Seven different angles, I could be your fantasy
Open up, say, ""Ah""
Come here, baby, let me swallow yo' pride
What you on? I can match your vibe
Hit me up and I'ma Cha Cha Slide
You make Mondays feel like weekends
I make him never think 'bout cheatin' (uh)
Got you skippin' work and meetings
Fuck it, let's sleep in, yeah (seven days a week, ooh)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second (oh, oh, oh)
You know night after night
I'll be fuckin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (ooh, ooh, ooh, ooh, ooh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week",
589,Summer Walker,Girls Need Love,"Honestly
Honestly, I'm tryna stay focused
You must think I've got to be joking when I say
I don't think I can wait
I just need it now
Better swing my way
I just need some dick
I just need some love
Tired of fucking with these lame niggas
Baby, I just need a thug
Won't you be my plug, ayy
You could be the one, ayy
We could start with a handshake
Baby, I'ma need more than a hug
Girls can't never say they want it
Girls can't never say how
Girls can't never say they need it
Girls can't never say now
Girls can't never say they want it
Girls can't never say how
Girls can't never say they need it
Girls can't never say now, oh, now
Give it to me like you need it, baby
Want you to hear me screaming, heavy breathing
I don't need a reason, baby
I wanna take and find
I can give it to you right babe, oh
I wanna be your healing
I can be real good
Please don't get in your feelings
Ayy, I need some love
Ayy, I need some love
Ayy, I need some love
Ayy, and you can't judge
Girls need love too (yeah)
Girls, girls need love too
Girls need love (let me tell you something)
Girls need love (girls need loving too)
Girls need love too
Girls need love too (so what's a girl to do)
Girls need love too (when she needs loving too)
Girls, girls need love too",
590,Redfoo,New thang,"Yeah
Oh
Foo!
Let's go oh!
Ooh, the way that you pop girl
Makes me go cray, show me what you got, girl
You could be my new thang
Ooh, the way that you move
Makes me go cray, pick it up now drop girl
You could be my new thang
Aha
Aha
Aha
Get sexy, girl, get sexy
Get sexy, girl, get sexy (aha)
Get sexy, girl, get sexy
Ye, ah
Yo (aha)
I heard it's your birthday
Grab a drink if you thirsty
I can see that you need a OG
That could do you the best in the worst way (aha)
Pop it like a go-go (aha)
Drop it like a low-low (aha)
What's that? It's a Go-Pro?
So I can watch that back, HD, slo-mo
I don't care if it's the first date (ey)
I'll take you back to my place (ey)
We can skip first base
'Cause a player like me tryna slide into home plate (aha)
Clap clap, make it clap (aha)
Lights on, lights off, make it clap (aha)
Yeah, make it clap
My name ain't Santa, but she sittin' on my lap, oh
Ooh, the way that you pop girl
Makes me go cray, show me what you got, girl
You could be my new thang
Ooh, the way that you move
Makes me go cray, pick it up now drop girl
You could be my new thang
Aha
Aha
Aha
Get sexy, girl, get sexy
Get sexy, girl, get sexy (aha)
Get sexy, girl, get sexy
Ye, ah
Yo (aha)
I heard that you single
Now you talkin' my lingo
Let's play casino
Bring four friends plus you, Bingo!
Yeah ain't nothing but a flirt (aha)
The way you bouncin' in that shirt (aha)
It's amazing how you drop it
Pick it up and still make it work (oh uh)
Yo body lethal
I might LA freak you
Goddamn, that booty fat, sittin' high up on your back
What the fuck, did they feed you? (Aha)
Clap, clap, clap clap make it clap (aha)
Lights on, lights off, make it clap (aha)
Yeah, make it clap
My name ain't Apple, but they call me the Mac, oh!
Ooh, the way that you pop girl
Makes me go cray, show me what you got, girl
You could be my new thang
Ooh, the way that you move
Makes me go cray, pick it up now drop girl
You could be my new thang
Hey bae I know we hardly met
And I like that
You're playing hard to get
And you're the type that
Makes me wanna do thangs
And that's why I'm tryna make you my new thang (aha)
Hey bae I know we hardly met
And I like that
You're playing hard to get
And you're the type that
Makes me wanna do thangs
And that's why I'm tryna make you my new thang
Party people!
Aha
Aha
Aha
Get sexy, girl, get sexy
Get sexy, girl, get sexy
Get sexy, girl, get sexy, yeah
Aha",
591,Pitbull,Go Girl,"Young Bo$$, Miss Trina, Pitbull
Let's show them how we keep down
I party like a rockstar
Look like a movie star
Play like an all star
Fuck like a pornstar
Baby, I'm a superstar
Always posted at the bar
Always with couple boss
Maybe I'm just that that raw
Dawg check your resume
I hit something everyday
Ask about me and they say
That chico run MIA
Pitbull, Young Bo$$, that's fire
Go girl work it out 'til you tire
Just tryin' to pay your tuition, liar
My corner is like HBO's wire
So please, don't play no games
And baby, don't say no names
And we can do this one more again
Next time, you can bring your friends
So get your friends
And I get my friends
And we can be friends
Do this every weekend
We can hit your place
We can hit my place
She's on my top eight
I bagged her off of myspace
Go girl, go girl, go girl, go girl
Go girl, go girl, go girl, go girl
Shake them dice and roll them
Shake them dice and roll them
When they ask you, ""What's that dance?""
You say that's the hustle man
Girl, I wanna know your name
Girl, who you be?
Don't care with who you came
As long as you leave with me
What's you sippin' on?
I buy you a drink
Get you one of them shiny things
Yer girl, pick pink
I see those Jimmy Choos
Those Vera Wangs
I love the way you work
Girl, do your thing
You see my stunna shades
I'm like a star
My clique is full of ballers
We at the bar
So get your friends
And I get my friends
And we can be friends
Do this every weekend
We can hit your place
We can hit my place
She's on my top eight
I bagged her off of myspace
Go girl, go girl, go girl, go girl
Go girl, go girl, go girl, go girl
Shake them dice and roll them
Shake them dice and roll them
When they ask you, ""What's that dance?""
You say that's the hustle man
Diamond princess
I make them bust quick
Man I back it up
Like a Mack Truck
Don't talk about it boy
Be about it boy
I got them girls, boy
Turn out your girls, boy
I'm talking freak nig
I'm like a freaky sh-
'Cause I'm a freak
So get your friends
And I get my friends
And we can be friends
Do this every weekend
We can hit your place
We can hit my place
She's on my top eight
I bagged her off of myspace
Go girl, go girl, go girl, go girl
Go girl, go girl, go girl, go girl
Shake them dice and roll them
Shake them dice and roll them
When they ask you, ""What's that dance?""
You say that's the hustle man",
592,Ellie Goulding,Love Me Like You Do,"¡K You're the light, you're the night
You're the colour of my blood
You're the cure, you're the pain
You're the only thing I wanna touch
Never knew that it could mean so much, so much
¡K You're the fear, I don't care
'Cause I've never been so high
Follow me through the dark
Let me take you past our satellites
You can see the world you brought to life, to life
¡K So love me like you do, la-la-love me like you do
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?
¡K Fading in, fading out
On the edge of paradise
Every inch of your skin is a Holy Grail I've got to find
Only you can set my heart on fire, on fire
¡K Yeah, I'll let you set the pace
'Cause I'm not thinking straight
My head's spinning around, I can't see clear no more
What are you waiting for?
¡K Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?
Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do (ye-yeah)
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?
¡K I'll let you set the pace
'Cause I'm not thinking straight
My head's spinning around, I can't see clear no more
What are you waiting for?
¡K Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do (ye-yeah)
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?
Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do (whoa)
Touch me like you do, ta-ta-touch me like you do (ah)
What are you waiting for?",
593,Megan Thee Stallion,Sex Talk,"Ayy, ayy
Boy you know you need to come give me that dick
He want to hit from the back 'cause I'm thick
I like to fuck on them when I get lit
Yeah, tell me this pussy the shit
Aye, ooh, he so thirsty
Ride that dick like a horsey
He said, are you tired?
I look back like, boy please
Ayy, let's have the sex talk (Huh)
I wanna see your body, take your clothes off (Huh)
I'ma bust quick if ya lips soft (Huh)
Rock that ship 'til ya blasts off
Ayy, yeah, let's have the sex talk (Huh)
Got a big boy, then pull it out, hey
Can you make it feel like the first time? (Huh)
I don't get tired, let him wear it out
Ayy, yeah
Put my feet up on the bed, ride it to the tip-top
He likes it doggy style 'cause I make that ass pop
He never finna leave me 'cause I got that drip drop
Said his last bitch still fuckin' like a robot
Ayy, let's have the sex talk (Huh)
I wanna see your body, take your clothes off (Huh)
I'ma bust quick if ya lips soft (Huh)
Rock that ship 'til ya blasts off
Ayy, yeah, let's have the sex talk
Got a big boy, then pull it out, hey
Can you make it feel like the first time?
I don't get tired, let him wear it out
Ayy, yeah
Got more milkshakes than Kelis
Ain't met a nigga who can handle me
I think I should be in museums
'Cause this body a masterpiece
Can I fuck you to a trap beat?
He said girl you tryin' to trap me?
Aw, hell nah, nigga, no I ain't (What?)
You can hit that door, here go ahead leave
Ayy, let's have the sex talk (Huh)
I wanna see your body, take your clothes off (Huh)
I'ma bust quick if ya lips soft (Huh)
Rock that ship 'til ya blasts off
Ayy, yeah, let's have the sex talk (Huh)
Got a big boy, then pull it out, hey
Can you make it feel like the first time? (Huh)
I don't get tired, let him wear it out
Ayy, yeah
Bad bitch taste like cherry kiwi
Real big titties, these double DDs
Ice on my neck be real, VVs
Peanut butter inside, Reece's Pieces
He said it just take like bubble gum
He eat from the back to the front
Bitch I got green like I'm Buttercup
He say I got that lil' yummy yum
Ayy, let's have a sex talk (Huh)
I wanna see your body, take your clothes off (Huh)
I'ma bust quick if ya lips soft (Huh)
Rock that ship 'til ya blasts off
Ayy, yeah, let's have a sex talk (Huh)
Got a big boy, then pull it out, hey
Can you make it feel like the first time? (Huh)
I don't get tired, let him wear it out
Ayy, yeah
Ayy
Bad bitch taste like cherry kiwi
Real big titties, these double DDs
Mwah",
594,Doja Cat,Candy,"I can name a couple ways, baby, this shit might go
You just might forget that this was what you're gettin' hyped for
Late at night, do the things to him, mean that guy who
Need someone who's sweet enough, who'll shoot to make that high note
And it's such a typical thing
Runnin' over a billion men, ooh
Runnin' through a difficult place
You gon' meet a billion hands, ooh
She's just like candy, she's so sweet
But you know that it ain't real cherry
Know that it ain't real cherry
She's just like candy, she's so sweet
But you know that it ain't real
Know that it ain't real
I can be your sugar when you're fiendin' for that sweet spot
Put me in your mouth, baby, and eat it 'til your teeth rot
I can be your cherry, apple, pecan, or your key lime
Baby, I got everything and so much more than she's got
And it's such a typical thing
Runnin' over a billion men, ooh
Runnin' through a difficult place
You gon' meet a billion hands, ooh
She's just like candy, she's so sweet
But you know that it ain't real cherry
Know that it ain't real cherry
She's just like candy, she's so sweet
But you know that it ain't real
Know that it ain't real
She's just like candy, she's so sweet
But you know that it ain't real cherry
Know that it ain't real cherry
She's just like candy, she's so sweet
But you know that it ain't real
Know that it ain't real
Sugar coated, lies unfolded
You still lick the wrapper
It's addictive, you know this
But you still lick the wrapper
Sugar coated, lies unfolded
You still lick the wrapper
It's addictive, you know this
But you still lick the wrapper
She's just like candy, she's so sweet
But you know that it ain't real cherry
Know that it ain't real cherry
She's just like candy, she's so sweet
But you know that it ain't real
Know that it ain't real
She's just like candy, she's so sweet
But you know that it ain't real cherry
Know that it ain't real cherry
She's just like candy, she's so sweet
But you know that it ain't real
Know that it ain't real",
595,Justin Bieber ft. Chance the Rapper,Confident,"Don't do it to me
Don't do it to me
Oh no no, oh no no
Don't do it to me
Oh no no, oh no no
Don't do it to me
Oh no no, oh no no
Don't do it to me
Oh no no, oh no no
Focused, I'm focused
She got a body like that
I ain't never seen nothing like that, ah-ah
Like a fantasy in front of me, I-I-I
I think that something special is going down
That's right, I think she foreign
I think she foreign, got passports
Mi amor started slow, got faster
She gon' work some more, work some more
No stopping her now, no stopping her now
Then she started dancing, sexual romancing
Nasty but she fancy, lipstick on my satin sheets
What's your nationality? I wonder if there's more of you
She's got my attention, she's confident
Oh no no, oh no no
She's confident
Oh no no, oh no no
And I'm down with it
Oh no no, oh no no
She's confident
You can tell by the way she walks in the room
She said it's her first time
I think she might have lied
Feels so good damn, and I don't know why
I'm addicted, something like an addict
Got me twisted, but still I gotta have it
Explosive, explosive (I could still smell her perfume)
It's not hard to notice, that I'm open
Hypnotised by the way she moves
Then she started dancing, sexual romancing
Nasty but she fancy, Mona Lisa master piece
What's your nationality? I wonder if there's more of you
She's got my attention, she's confident
Oh no no, oh no no
She's confident
Oh no no, oh no no
And I'm down with it
Oh no no, oh no no
She's confident
I could tell by the way she walks in the room
She said it's her first time
I think she might have lied
Feels so good damn, and I don't know why
I'm addicted, something like a headache
Got me twisted, but still I gotta have it (Chance, the Rapper?)
Tattoos, piercings and she just learned to twerk
She ain't got a heart or a ass, just her brains, gotta ask
'Cause her ass on a learning curve
And she love to earn the verb, I mean burn the word
That's only legal with a doctors note
Real deep pockets like a doctors coat
Stay fitted like Diddy, hair back tryna rock the boat
She the first mate wanna rock the boat
She never forget to ride like a bicycle
She like planes, trains, chains with icicles
It goes, it goes her, blank, blank, and rock and roll
She say ""I know, honey bunny that's a funny thing""
Thots twerk for the goodfella
She money dan' with the money team, ra!
Oh no no, oh no no
She's confident
Oh no no, oh no no
And I'm down with it
Oh no no, oh no no
She's confident
You can tell by the way she walks in the room
She said it's her first time
I think she might have lied
Feels so good damn, and I don't know why
I'm addicted, something like a headache
Got me twisted, but still I gotta have it
But still I gotta have it
But still I gotta have it
But still I gotta have it
Oh no no, oh no no
Oh no no, oh no no
Oh no no, oh no no
Oh no no, oh no no
But still I gotta have it",
596," Ty Dolla $ign ft. The Weeknd, Wiz Khalifa, and DJ Mustard",Or Nah,"I gotta lotta cash (Mustard on that beat ho)
I don't mind spendin' it, yeah
I'ma smoke this joint then I'ma break you off
I'd be lying if I said you ain't the one
All these tattoos in my skin they turn you on
Lotta smoking, drinking, that's the shit I'm on
Heard you not the type that you take home to mom
Is we fucking when we leave the club or nah?
I ain't spending cash for nothing, I wanna see you take it off
I'ma pop this bottle, you gon' give me brain or nah?
Heard you from the hood, you rep that thing or nah?
Gotta lotta ass, you gon' shake that thing or nah?
Heard you smoke blunts, you down with paper planes or nah?
I feel like I'm Tony, you my boss? I'm thinking nah
The whole world I take it on
You gonna run it for these hundreds girl or nah?
Show me is you really 'bout your money girl or nah?
Don't play with a boss, girl take it off
Take it for a real one, you gon' get it all (oh yeah)
Is you really 'bout your money or nah?
Can you really take dick or nah?
Can I bring another bitch or nah?
Is you with the shits or nah?
Or nah, or nah
Would you ride for a nigga or nah?
Would you die for a nigga or nah?
Would you lie to a nigga or nah?
Or nah
Can you really take dick or nah?
Can I bring another bitch or nah?
Is you with the shits or nah?
Or nah, or nah
Would you ride for a nigga or nah?
Would you die for a nigga or nah?
Would you lie to a nigga or nah?
Or nah
Girl make that ass clap for young Dolla $ign
You already know my money go a long time
I could slide for it, like Nelly (like Nelly)
I'ma go as far as you let me (yeah yeah)
Girl is you sucking me or fucking me or nah?
Can I bring another bitch? Lets have a threesome
Keep saying you's a freak you gon' prove it or nah? (Yeah)
His bitch keep lookin' at me, she choosin' or nah?
You's a ride or die chick, you with the shit or nah?
Say you not a side bitch, you all in or nah?
You gon' make them eggs cheesy with them grits or nah?
Can you do it like that, on this dick or nah?
You gonna run it for these hundreds girl or nah?
Show me is you really 'bout your money girl or nah?
Don't play with a boss, girl take it off
Take it for a real one, you gon' get it all
Is you really 'bout your money girl or nah?
Can you really take dick or nah?
Can I bring another bitch or nah?
Is you with theshits or nah?
Or nah, or nah
Would you ride for a nigga or nah?
Would you die for a nigga or nah?
Would you lie to a nigga or nah?
Or nah
Can you really take dick or nah?
Can I bring another bitch or nah?
Is you with the shits or nah?
Or nah, or nah
Would you ride for a nigga or nah?
Would you die for a nigga or nah?
Would you lie to a nigga or nah?
Or nah
Gon make that ass clap
Gon make that ass clap
Ma-ma-make that ass clap
Gon' make that ass clap",
597,H.E.R.,Damage,"If you got it, it ain't a question
Ooh, it ain't no room for guessing
No more than emotionally invested (no, no)
Showing you all my imperfections, oh
If I let you, you'll take me for granted, yeah
If I'm worth more than you could manage, manage, yeah
Open with me, oh, we could be honest
Closer to me, oh, giving me solace
Promise that you won't let me fall
Holding me tight
Loving me right
Giving me life
All night
You could be
(You could be)
Telling me lies
Making me cry
Wasting my time
The whole time
So just be
Careful what you take for granted, yeah
'Cause with me, know you could do damage
You, you could do damage
You, you could do damage, yeah, uh
Worried 'bout it, I'm putting pressure (you know)
You'll only cut me if I let you
No, he ain't the one, it's just for pleasure
Either learn me or I'm a lesson gone, oh
If you want me, don't take me for granted, yeah, yeah
If I'm worth more than you could manage, baby
Oh, you're falling for me
Oh, baby, I caught it
Ooh, we could be whatever you wanna call it
Promise that you won't let me fall, oh
Holding me tight
Loving me right
Giving me life
All night
You could be
Telling me lies
Making me cry
Wasting my time
The whole time
So just be
Careful what you take for granted, yeah, uh
'Cause with me, know you could do damage
You, uh, you could do damage
You, you could do damage
Oh, you could do damage
No, you could do damage, yeah
Oh, you could do damage, yeah, yeah, yeah, yeah
Oh, you could do damage on me",
598,Anna of the North,Lovers,"You told me I would never see you walk away
Said you'd never break my heart
Never leave me in the dark
I guess there's just some promises you shouldn't make
Should've known from the start
Now I'm in the dark
Show a little loving
Shine a little light on me
Show a little loving
Shine a little light on me
Show a little loving
Shine a little light on me
Show a little loving
I'm in the dark
I can't see
Can't see it
Can't see it
Feeling my way back to you
I can't feel
Can't feel it
Can't feel it
Reach out and show a little loving
Shine a little light on me
Show a little loving
Shine a little light on me
I'm in the dark
Show a little loving
Shine a little on me
Show a little loving
Show a little loving
You told me I would never see you go astray
Said we'd never be apart
Never leave me in the dark
I guess there's just some promises you shouldn't make
Should've known from the start
I'm in the dark
I can't see
Can't see it
Can't see it
Just feeling my way back to you
I can't feel
Can't feel it
Can't feel it
Reach out and show a little loving
Shine a little light on me
Show a little loving
Shine a little light on me
I'm in the dark
Show a little lovin'
Shine a little light on me
Show a little loving
I can't see
Can't see it
Can't see it
Just feeling my way back to you
I can't feel
Can't feel it
Can't feel it
Reach out and show a little loving
Shine a little light on me
Show a little loving
Shine a little light on me
I'm in the dark
Show a little loving
Shine a little light on me
Show a little loving
Show a little loving",
599,Joji,SLOW DANCING IN THE DARK,"I don't want a friend (just me)
I want my life in two (my life in two)
Just one more night
Waiting to get there
Waiting for you (all night)
I'm done fighting all night (waiting for you)
When I'm around slow dancing in the dark
Don't follow me, you'll end up in my arms
You have made up your mind
I don't need no more signs
Can you?
Can you?
Give me reasons we should be complete
You should be with him, I can't compete
You looked at me like I was someone else, oh well
Can't you see? (Can't you see?)
I don't wanna slow dance (I don't want to slow dance)
In the dark
Dark
When you gotta run
Just hear my voice in you (my voice in you)
Shutting me out of you (shutting me out of you)
Doing so great (so great, so great)
You
Used to be the one (used to be the one)
To hold you when you fall
Yeah, yeah, yeah (when you fall, when you fall)
I don't fuck with your tone (I don't fuck with your tone)
I don't wanna go home (I don't wanna go home)
Can it be one night?
Can you?
Can you?
Give me reasons we should be complete
You should be with him, I can't compete
You looked at me like I was someone else, oh well
Can't you see?
I don't wanna slow dance (I don't want to slow dance)
In the dark
Dark
In the dark
Dark",
600,Vera,Hold,"[Verse 1]
I love the way you tie me down
False words would never be allowed
When I am yours
When we are home

[Verse 2]
You loved the many faults you found
You kept what was worth keeping around
When I am yours
When we are home

[Pre-Chorus]
Wanting you to know, before things become overgrown
There are reasons why I am this way
Wanting you to know, before things become overgrown
There are reasons why I am this way

[Chorus]
I have opened my heart so many times
You have a hold of it now
I need you to breathe new life into me
You have a hold of it now

[Verse 3]
I tried to loosen off your hold
But you stayed and nothing made you fall
I knew when you took me over
That you where not like the others
I can be young and reckless
But you stayed

You might also like
Is It Over Now? (Taylor¡¦s Version) [From The Vault]
Taylor Swift
Say Don¡¦t Go (Taylor¡¦s Version) [From The Vault]
Taylor Swift
A&W
Lana Del Rey

[Chorus]
I have opened that heart so many times
You have a hold of it now
I need you to breathe new life into me
You have a hold of it now

[Pre-Chorus]
Wanting you to know, before things become overgrown
There are reasons why I am this way
Wanting you to know, before things become overgrown
There are reasons why I am this way

[Bridge]
All those times I tried to make you forget me
You stayed, you stayed
All those times I tried to make you forget me
You stayed

[Outro]
When I am yours
When I am yours
When we are home
When we are home",
601,Blue Foundation,Eyes on Fire,"Whoa-hoa-hoa-hoa-hoa
Whoa-hoa-hoa-hoa-hoa
Whoa-hoa-hoa-hoa-hoa
Whoa-hoa-hoa-hoa-hoa
I'll seek you out
Flay you alive
One more word and you won't survive
And I'm not scared of your stolen power
I see right through you any hour
I won't soothe your pain
I won't ease your strain
You'll be waiting in vain
I got nothing for you to gain
I'm taking it slow
Feeding my flame
Shuffling the cards of your game
And just in time
In the right place
Suddenly I will play my ace
I won't soothe your pain
I won't ease your strain
You'll be waiting in vain
I got nothing for you to gain
Eyes on fire
Your spine is ablaze
Felling any foe with my gaze
And just in time
In the right place
Steadily emerging with grace
Ahh, felling any foe with my gaze
Ahh, steadily emerging with grace
Ahh, felling any foe with my gaze
Ahh, steadily emerging with grace",
602,Hozier,Cherry Wine,"Her eyes and words are so icy
Oh but she burns
Like rum on the fire
Hot and fast and angry as she can be
I walk my days on a wire
It looks ugly, but it's clean
Oh momma, don't fuss over me
The way she tells me I'm hers and she is mine
Open hand or closed fist would be fine
The blood is rare and sweet as cherry wine
Calls of guilty thrown at me
All while she stains
The sheets of some other
Thrown at me so powerfully
Just like she throws with the arm of her brother
But I want it
It's a crime
That she's not around most of the time
The way she shows me I'm hers and she is mine
Open hand or closed fist would be fine
Blood is rare and sweet as cherry wine
Her fight and fury is fiery
Oh but she loves
Like sleep to the freezing
Sweet and right and merciful
I'm all but washed
In the tide of her breathing
And it's worth it, it's divine
I have this some of the time
The way she shows me I'm hers and she is mine
Open hand or closed fist would be fine
The blood is rare and sweet as cherry wine",
603,BANKS,Waiting Game,"I'm thinking it over
The way you make me feel all sexy but it's causing me shame
I wanna lean on your shoulder
I wish I was allowed but I don't wanna cause any pain
And if I'm feeling like I'm evil, we got nothing to gain
What if I never even see you 'cause we're both on a stage?
Don't tell me listen to your song, because it isn't the same
I don't wanna say your love is a waiting game
Baby, I'm thinking it over
What if the way we started made it something cursed from the start?
What if it only gets colder?
Would you still wrap me up and tell me that you think this was smart?
'Cause lately I've been scared of even thinking 'bout where we are
What if I never even see you 'cause we're both on a stage?
Don't tell me listen to your song, because it isn't the same
I don't wanna say your love is a waiting game
What if I never even see you 'cause we're both on a stage?
Don't tell me listen to your song, because it isn't the same
I don't wanna say your love is a waiting game",
604,FKA Twigs,Papi Pacify,"Mmm, pacify
Mmm, pacify
Mmm
Clarify our love
Mmm, pacify
Mmm, pacify
Clarify our love
(Clarify, clarify)
Clarify
Clarify
Pacify our love
Oh, show
Tell me I'm the only one
Like I didn't know
Oh, show me
Tell me you're the one that I can call
Even if you choke
Ooh, papi pacify
Pacify our love
Mmm, mmm, mmm, mmm
Won't you clarify
Clarify us
Ooh, papi pacify
Pacify our love, our love, love
Mmm, mmm, mmm, mmm
Won't you clarify
Clarify us
Papi pacify
Papi pacify
Oh, show
Might hurt me if I think you won't
Never tell me no
Oh, show
Whisper you're the one to fix it too
Even if you won't
Ooh, papi pacify
Pacify our love
Mmm, mmm, mmm, mmm
Won't you clarify
Clarify us
Ooh, papi pacify
Pacify our love, our love, love
Mmm, mmm, mmm, mmm
Won't you clarify
Clarify us
Pacify our love
Clarify us
Ooh, papi pacify
Pacify our love, our love, love
Mmm, mmm, mmm, mmm
Won't you clarify
Clarify us
Papi pacify
Papi pacify",
